SignatureTest.html                                                                                             Passed.
api/javasoft/sqe/tests/jakarta/mail/Address/testlist.html#equals_Test                                          Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Address/testlist.html#getType_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Address/testlist.html#toString_Test                                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/FetchProfile/testlist.html#add_Test                                        Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/FetchProfile/testlist.html#contains_Test                                   Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/FetchProfile/testlist.html#fetchProfile_Test                               Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/FetchProfile/testlist.html#getHeaderNames_Test                             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/FetchProfile/testlist.html#getItems_Test                                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#Flags_Test                                             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#add_Test                                               Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#clear_Test                                             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#clone_Test                                             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#contains_Test                                          Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#equals_Test                                            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#getSystemFlags_Test                                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#getUserFlags_Test                                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#remove_Test                                            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Flags/testlist.html#retainAll_Test                                         Failed.
api/javasoft/sqe/tests/jakarta/mail/Folder/testlist.html#appendMessages_Test                                   Failed.
api/javasoft/sqe/tests/jakarta/mail/Folder/testlist.html#autoclose_Test                                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Folder/testlist.html#close_Test                                            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Folder/testlist.html#create_Test                                           Failed. Warning: Failed to create test folder topdog
api/javasoft/sqe/tests/jakarta/mail/Folder/testlist.html#delete_Test                                           Failed. Failed to create topdog folder
api/javasoft/sqe/tests/jakarta/mail/Folder/testlist.html#exists_Test                                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Folder/testlist.html#fetch_Test                                            Failed. EXCEPTION
